class_id,class_name,total_imgNum,top1_correct,top1_acc
0,aeroplane,3646,2469,67.72%
1,bicycle,3475,1589,45.73%
2,bus,4690,2226,47.46%
3,car,10401,5412,52.03%
4,horse,4691,2546,54.27%
5,knife,2075,348,16.77%
6,motorcycle,5796,5474,94.44%
7,person,4000,923,23.08%
8,plant,4549,3748,82.39%
9,skateboard,2281,750,32.88%
10,train,4236,2605,61.50%
11,truck,5548,560,10.09%
,AVERAGE,55388,28650,51.73%
